"","venue","headliner","support","weekday","date","time","ticket_price"
"299","9:30 Club","      MOE.     ",NA,"Friday",2000-12-08,"",""
"300","9:30 Club","      MOE.     ",NA,"Saturday",2000-12-09,"",""
"301","9:30 Club","      Type O Negative     ",NA,"Tuesday",2000-11-21,"",""
"302","9:30 Club","      Gomez"," Beulah    ","Saturday",2000-03-11,"",""
"303","9:30 Club","      Sleater-Kinney     ",NA,"Thursday",2000-05-25,"",""
"304","9:30 Club","      Juliana Hatfield"," Buffalo Tom    ","Friday",2000-06-23,"",""
"305","9:30 Club","      Yo La Tengo     ",NA,"Saturday",2000-09-16,"",""
"306","9:30 Club","      Ben Folds Five"," Tracy Bonham    ","Wednesday",2000-04-19,"",""
"307","9:30 Club","      Stereolab and Sonic Youth     ",NA,"Monday",2000-06-19,"",""
"308","9:30 Club","      The The     ",NA,"Monday",2000-05-29,"",""
"309","9:30 Club","      Ween     ",NA,"Monday",2000-05-22,"",""
"310","9:30 Club","      Dream Theater"," Spock's Beard    ","Saturday",2000-08-05,"",""
"311","9:30 Club","      Remy Zero and Travis     ",NA,"Tuesday",2000-09-05,"",""
"312","9:30 Club","      Elliott Smith     ",NA,"Friday",2000-05-12,"",""
"313","9:30 Club","      They Might Be Giants     ",NA,"Friday",2000-11-03,"",""
"314","9:30 Club","      System of a Down     ",NA,"Sunday",2000-02-20,"",""
"315","9:30 Club","      Nothingface     ",NA,"Friday",2000-12-15,"",""
"316","9:30 Club","      Boss Hog     ",NA,"Saturday",2000-03-25,"",""
"317","9:30 Club","      The Charlatans"," Stereophonics    ","Monday",2000-04-10,"",""
"318","9:30 Club","      Medeski"," Martin & Wood     ","Monday",2000-05-01,"",""
"319","9:30 Club","      Fish"," John Wesley    ","Saturday",2000-01-15,"",""
"320","9:30 Club","      Galactic     ",NA,"Thursday",2000-04-13,"",""
"321","9:30 Club","      Lambchop"," Yo La Tengo    ","Friday",2000-02-25,"",""
"322","9:30 Club","      Godspeed You! Black Emperor"," W. Oldhamm. Turner    ","Monday",2000-12-04,"",""
"323","9:30 Club","      Long Beach Dub All-Stars     ",NA,"Monday",2000-03-06,"",""
"324","9:30 Club","      Reverend Horton Heat"," Hank Williams III and Dancehall Crashers    ","Saturday",2000-02-26,"",""
"325","9:30 Club","      The Distillers     ",NA,"Wednesday",2000-06-21,"",""
"326","9:30 Club","      Frank Black and Frank Black & The Catholics     ",NA,"Friday",2000-06-16,"",""
