"","artist","Genres","Labels","Associated acts","Birth name","Born","Died","Instruments","Notable instruments","Occupation(s)","Origin","Years active","Members","Past members","Website","Also known as"
"2763","Girlpool","Indie rock, folk punk","Wichita Recordings
Anti-",NA,NA,NA,NA,NA,NA,NA,"Los Angeles, California","2013 (2013)–present","Cleo Tucker
Harmony Tividad",NA,"girlpoolmusic.com",NA
"2764","Sunflower Bean","Alternative rock, indie rock, post-punk revival, psychedelic rock","Fat Possum Records",NA,NA,NA,NA,NA,NA,NA,"Brooklyn, New York, USA","2013–present","Julia Cumming
Jacob Faber
Nick Kivlen",NA,"http://www.sunflowerbean.net/",NA
"2765","Elliphant","Electronic
synthpop
alternative hip hop
dancehall
trap","Bigger Splash
Universal
TEN
Kemosabe
Mad Decent",NA,"Ellinor Miranda Salome Olovsdotter","(1985-10-08) 8 October 1985 (age 31)Stockholm, Sweden",NA,NA,NA,"Singer
songwriter
rapper",NA,"2012–present",NA,NA,"elliphant.com",NA
"2766","Billy Talent","Punk rock, alternative rock, post-hardcore, ska punk (early)","Atlantic, Warner","Rise Against, Anti-Flag, Cancer Bats, Alexisonfire, Cunter, Say Yes, AFI, Royal Republic, Sum 41, Hollerado, Indian Handcrafts, Monster Truck",NA,NA,NA,NA,NA,NA,"Streetsville, Mississauga, Ontario, Canada","1993 (1993)–present","Benjamin KowalewiczIan D'SaJonathan GallantAaron Solowoniuk",NA,"billytalent.com","Pezz (1993–99)"
"2767","Basia Bulat","Folk","Rough Trade, Hardwood, Secret City",NA,"Barbara Josephine Bulat","(1984-04-13) April 13, 1984 (age 33)Toronto, Ontario",NA,"Vocals, guitar, autoharp, hammered dulcimer, piano, ukulele, charango",NA,"Musician, songwriter","London, Ontario","2004–present",NA,NA,"www.basiabulat.com",NA
"2768","The Subways","Punk rock[1][2]
alternative rock[3]
indie rock
post-punk revival","Cooking Vinyl (UK), Warner Bros. (U.S.), Infectious (UK), Ferryhouse (GER)",NA,NA,NA,NA,NA,NA,NA,"Welwyn Garden City, Hertfordshire, England, UK","2000–present","Billy Lunn
Charlotte Cooper
Josh Morgan",NA,"thesubways.net",NA
"2769","Stormzy","Grime
British hip hop","#Merky Records",NA,"Michael Ebenazer Kwadjo Omari Owuo, Jr.[1][2]","(1993-07-26) 26 July 1993 (age 24)[4][5]",NA,NA,NA,NA,"Croydon, London, England","2010–present",NA,NA,NA,"Wicked Skengman[3]"
"2770","This Wild Life","Emo, acoustic rock, pop rock, pop punk (early)","Epitaph Records",NA,NA,NA,NA,NA,NA,NA,"Long Beach, California, United States","2010 (2010)–present","Kevin Jordan
Anthony Del Grosso","Mikey Hoefnagel
Alex Bemis
Ramsey Badawi","www.thiswildlifeband.com",NA
"2771","Intronaut","Progressive metal, post-metal, experimental metal","Century Media, Translation Loss, Goodfellow, Lifeforce",NA,NA,NA,NA,NA,NA,NA,"Los Angeles, CA, USA","2004 (2004)–present","Sacha Dunable
Dave Timnick
Joe Lester
Danny Walker","Leon del Muerte","intronautofficial.com",NA
"2772","Lil Uzi Vert","Hip hop","Generation Now
Atlantic",NA,"Symere Woods","(1994-07-31) July 31, 1994 (age 23)Philadelphia, Pennsylvania, United States",NA,"Vocals",NA,"Rapper",NA,"2013–present",NA,NA,"liluziofficial.com",NA
"2773","Unearth","Metalcore, thrash metal, heavy metal, melodic death metal","Endless Fight, Eulogy, Metal Blade, Century Media, eOne Music, Howling Bull, 3Wise","Lamb of God, Killswitch Engage, Every Time I Die, Hassan I Sabbah, Burn Your Wishes, 7 Horns 7 Eyes, The Red Chord, Seemless",NA,NA,NA,NA,NA,NA,"Boston, Massachusetts, U.S.","1998 (1998)–present","Trevor Phipps
Buz McGrath
Ken Susi
Nick Pierce","Chris Rybicki
Mike Rudberg
Mike JustianDerek Kerswill
John Maggard","www.unearth.tv",NA
"2774","Skinny Lister","Folk, Indie folk","Imperial Music, Sunday Best Recordings, Side One Dummy, Uncle Owen, Xtra Mile Recordings",NA,NA,NA,NA,NA,NA,NA,"Greenwich, London, England","2009 (2009)-present","Daniel Heptinstall (2009 - present)
Lorna Thomas (2009 - present)
Maxwell Thomas (2009 - present)
Sam Brace (2009 - 2013, 2014-present)
Thom Mills (2014-present)
Scott Milsom (2017 - present)","Dan Gray (2009 - 2012)
Dave Neale (2013 - 2014)
Andy ""Slim"" Black (2013 - 2014)
Michael Camino (2012 - 2017)","www.skinnylister.com",NA
"2775","Jah Wobble","Post-punk, experimental rock, dub, world, alternative rock, electronica","30 Hertz, Island","Public Image Ltd, The Human Condition, Jah Wobble's Invaders of the Heart, The Damage Manual, Chinese Dub Orchestra","John Joseph Wardle","(1958-08-11) 11 August 1958 (age 59)Stepney, London, England",NA,"Bass guitar, vocals, keyboards, drums","Notable instruments","Musician",NA,"1978–1984, 1986–present",NA,NA,"jahwobble.com",NA
"2776","SKYWLKR","Hip hop","Warp
Fool's Gold","Bruiser Brigade
Rese'vor Dogs
ASAP Rocky
Black Milk
Johnson&Jonson
Insane Clown Posse
Nick Speed
Paul White
Schoolboy Q
Tony Yayo
Purity Ring","Daniel Dewan Sewell[1][2]","(1981-03-16) March 16, 1981 (age 36)Detroit, Michigan, United States",NA,"Vocals",NA,"Rapper
songwriter",NA,"2002–present",NA,NA,"xdannyxbrownx.com","Danny Brown
Dee Luciano"
"2777","Trixie Whitley","Alternative rock, soul, blues rock","Strong Blood Music (BMI)","Black Dub, Chris Whitley, Daniel Lanois, Brian Blade, Mark Howard, Thomas Bartlett, Pat Dillett",NA,"(1987-06-24) June 24, 1987 (age 30)Ghent, Belgium",NA,"Vocals, drums, guitar, keyboards",NA,"Musician, songwriter",NA,NA,NA,NA,"trixiewhitley.com",NA
"2778","Ben Watt","Alternative rock
new wave
house
electronica
folk rock","Cherry Red
Blanco y Negro
Sire
Warner Bros.
Atlantic
Virgin
Buzzin' Fly
Strange Feeling","Everything but the Girl","Benjamin Brian Thomas Watt","(1962-12-06) 6 December 1962 (age 54)Marylebone, London, England",NA,"Vocals
guitar
keyboards
synthesizer
piano
organ
turntable
programming",NA,"Musician
singer-songwriter
DJ
author
producer
remixer
record label owner
radio presenter","Barnes, London, England","1981–present",NA,NA,"benwatt.com",NA
"2779","Fellowcraft","Rock, Grunge, Blues-Rock",NA,NA,NA,NA,NA,NA,NA,NA,"Washington, D.C.","2014 (2014)–present","Jon Ryan MacDonald
Brian Nelson-Palmer
Brandon Williams","Matthew Febles
Lawrence Proudfoot","fellowcraftband.com",NA
"2780","Sleeping With Sirens","Post-hardcore
pop rock
emo","Rise, Epitaph[1], Warner Bros.","Underminded
Pierce the Veil
For All We Know
Broadway
We Are Defiance
Conditions
Palisades",NA,NA,NA,NA,NA,NA,"Orlando, Florida, U.S.","2009–present","Kellin Quinn
Justin Hills
Gabe Barham
Jack Fowler
Nick Martin","Brandon McMaster
Brian Calzini
Paul Russell
Alex Kaladjian
Dave Aguliar
Nick Trombino
Jesse Lawson","sleepingwithsirens.net",NA
"2781","Jaymes Young","Alternative rock
indie pop
electronica","Atlantic",NA,"Jaymes McFarland","(1991-09-01) September 1, 1991 (age 26)Seattle, Washington,
United States",NA,"Vocals
guitar",NA,"Singer-songwriter
producer",NA,"2012–present",NA,NA,"jaymesyng.com",NA
"2782","Dua Lipa","Pop[1]
synth-pop
R&B[2]
dream pop[3]
dark pop[4]","Dua Lipa Limited
Warner Bros.
Vertigo
Capitol",NA,NA,"(1995-08-22) 22 August 1995 (age 22)
London, England",NA,"Vocals",NA,"Singer
songwriter
model",NA,"2015–present",NA,NA,"dualipa.com",NA
"2783","Jagwar Ma","Psychedelic rock, acid house, baggy, experimental, alternative dance, trip hop","Future ClassicMom + Pop MusicMarathon Artists","Lost Valentinos, Ghostwood, The xx, Foals, Tame Impala",NA,NA,NA,NA,NA,NA,"Sydney, Australia","2011–present","Gabriel Winterfield
Jono Ma
Jack Freeman",NA,"www.jagwarma.com",NA
"2784","Dragonforce","Power metal, speed metal","Roadrunner, Universal, Sanctuary, Spinefarm, Noise","Demoniac, Power Quest",NA,NA,NA,NA,NA,NA,"London, England, UK","1999–present","Herman LiSam Totman
Vadim PruzhanovFrédéric Leclercq
Marc Hudson
Gee Anzalone","ZP Theart
Steve Scott
Diccon HarperAdrian LambertSteve Williams
Matej SetincDidier AlmouzniDave Mackintosh","www.dragonforce.com","DragonHeart (1999–2002)"
"2785","The Wild Reeds","Indie folk","Dualtone Records",NA,NA,NA,NA,NA,NA,NA,"Los Angeles, California","2014 (2014)–present","Kinsey Lee
Mackenzie Howe
Sharon Silva
Nick Jones
Nick Phapiseth",NA,"www.thewildreedsmusic.com",NA
"2786","John Moreland","AmericanaFolk rockAlternative country","Last Chance Records
Okie Tone Records
Little Mafia Records4AD","Black Gold Band
Dust Bowl SoulsThirty Called Arson","John Robert Moreland","(1985-06-22) June 22, 1985 (age 32)Longview, Texas U.S.",NA,"VocalsAcoustic guitar
Organ",NA,"Singer-songwriter","Tulsa, Oklahoma U.S.","2000–present","Mike WilliamsJohn Calvin Abney[1]
Steve Walden",NA,"JohnMoreland.net",NA
"2787","Rainer Maria","Indie rock, emo","Polyvinyl, Arena Rock Recording Co., Grunion Records",NA,NA,NA,NA,NA,NA,NA,"Madison, WisconsinUnited States","1995–2006, 2014-present","Caithlin De Marrais
Kaia Fischer
William Kuehn",NA,NA,NA
"2788","Ho99o9","Experimental hip hop
hardcore punk
horrorcore
industrial hip hop",NA,NA,NA,NA,NA,NA,NA,NA,"Newark, New Jersey, United States",NA,"theOGM
Eaddy",NA,"ho99o9.com","HO99O9 DEATH KULT"
"2789","Sannhet","Instrumental metal
post-metal
sludge metal
black metal[1]","Sacrament, Consouling Sounds, The Flenser, Hospital Productions, Profound Lore Records",NA,NA,NA,NA,NA,NA,NA,"Brooklyn, New York, U.S.","2010 (2010)–present","John Refano
Christopher Todd
AJ Annunziata",NA,NA,NA
"2790","Advance Base","Lo-fi
indietronica
indie pop[1]","Tomlab","Advance Base, Sun Kil Moon",NA,NA,NA,NA,NA,NA,"San Francisco, California, USA","1997–2010",NA,"Owen Ashworth","Official website",NA
"2791","Marc E Bassy","Hip hop
pop
R&B
soul
reggae-pop","Republic","2AM Club
Bebe Rexha
G-Eazy
Nic Nac
Skizzy Mars","Marc Griffin","(1987-04-09) April 9, 1987 (age 30)",NA,NA,NA,NA,"San Francisco, California","2007–present",NA,NA,NA,NA
"2792","Mystery Skulls","Electronica, indie pop, Minneapolis sound, electronic rock, soul","Warner Bros. Records","The Secret Handshake",NA,NA,NA,NA,NA,NA,"Dallas, Texas, United States","2011–present","Luis Dubuc",NA,"Mystery Skulls on Tumblr, BandCamp page",NA
"2793","Icon for Hire","Alternative rock
pop punk
electronic rock
alternative metal","Tooth & Nail",NA,NA,NA,NA,NA,NA,NA,"Decatur, Illinois, U.S.","2007–present","Ariel Bloomer
Shawn Jump","Joshua Davis
Adam Kronshagen","iconforhire.net",NA
"2794","Night Beats","Garage rock, psychedelic rock, soul, surf rock","Heavenly Recordings
Trouble In MindThe Reverberation Appreciation Society
Holy Twist Records","White Light Fever
The UFO Club
Night SunBlack Rebel Motorcycle Club",NA,NA,NA,NA,NA,NA,"Seattle, Washington, United States","2009 — present","Danny ""Lee Blackwell"" Rajan Billingsley
James Traeger
Jakob Bowden","Tarek Wegner","thenightbeats.us",NA
"2795","Nicole Dollanganger","Sadcore
lo-fi
ambient
dream pop","Eerie Organization
Run for Cover","Grimes
XXXTentacion
Full of Hell",NA,"(1991-09-08) September 8, 1991 (age 26)Scarborough, Ontario, Canada",NA,NA,NA,"Singer
songwriter
artist",NA,"2011–present",NA,NA,"nicoledollanganger.com",NA
"2796","Muhsinah","R&B / Indie Pop","Unsigned","Common, The Weeknd, Flying Lotus, Noisettes","Muhsinah Abdul-Karim","(1983-07-20) July 20, 1983 (age 34)",NA,"Vocals, Piano, Synthesizers","Notable instruments","Singer/Songwriter, Record Producer, Composer, Arranger","Washington, D.C., US","2007-Present",NA,NA,"www.muhsinah.com","Sinah, The Golden Girl"
"2797","The Walters","Indie rock, alternative rock","Unsigned",NA,NA,NA,NA,NA,NA,NA,"Chicago, Illinois, United States","2014–present","Luke Olson
Walter Kosner
Michael Tirabassi
Danny Wells
Charlie Ekhaus",NA,NA,NA
"2798","Sam Outlaw","Country, Honky Tonk, Americana","Six Shooter Records",NA,"Sam Morgan","(1982-07-28) July 28, 1982 (age 35)Aberdeen, South Dakota, U.S.",NA,"VocalsGuitar",NA,"country music singer-songwriter",NA,"2009–present",NA,NA,"www.samoutlaw.com",NA
"2799","Ken Vandermark","Avant-garde, free jazz","Spool, Atavistic","NRG Ensemble, The Flying Luttenbachers, DKV Trio, Vandermark 5",NA,"(1964-09-22) September 22, 1964 (age 53)Warwick, Rhode Island, U.S.",NA,"Saxophone, clarinet",NA,"Musician",NA,NA,NA,NA,"www.kenvandermark.com",NA
"2800","Sad13","Indie rock",NA,"Speedy Ortiz, Dark Warble, Sad13, Rinong, Quilty, Ovlov, Lizzo, Very Fresh, Babement",NA,NA,NA,"Guitar, Vocals","Notable instruments","Musician",NA,NA,NA,NA,NA,NA
"2801","Tank and the Bangas","Funk-Soul
Hip Hop
Rock
Spoken Word",NA,NA,NA,NA,NA,NA,NA,NA,"New Orleans","2011–present","Tarriona Ball
Joshua Johnson
Norman Spence
Jonathan Johnson
Merell Burkett
Joe Johnson
Anjelika Joseph
Kayla Buggage
Albert Allenbeck
Etienne Stoufflet",NA,"tankandthebangas.com",NA
"2802","Tei Shi","Indie pop, alternative R&B, art pop, synthpop",NA,"Glass Animals, Shy Girls","Valerie Teicher","(1990-10-04) 4 October 1990 (age 26)Buenos Aires, Argentina",NA,"Vocals",NA,"Singer-songwriter, record producer",NA,"2013–present",NA,NA,"tei-shi.com",NA
"2803","Coast Modern","Indie pop [1]","300 Entertainment","BØRNS, The Wombats, The Temper Trap",NA,NA,NA,NA,NA,NA,"Los Angeles, California, United States","2015–present","Luke Atlas
Coleman Trapp",NA,"coastmodernmusic.com",NA
"2804","Smino","Hip hop, funk, soul, R&B, electronic[1]","Zero Fatigue LLC, Downtown Records","Monte Booker, Ravyn Lenae, Mick Jenkins, Saba, Noname, Jean Deaux, Bari, Jay2","Christopher Smith Jr.","(1991-10-02) October 2, 1991 (age 25)St. Louis, Missouri",NA,"Vocals, drums",NA,"Rapper, singer, songwriter",NA,"2011-present",NA,NA,NA,"C. Smi"
"2805","Kevin Abstract","Alternative hip hop
alternative R&B
indie pop",NA,"Brockhampton
Allan Kingdom
Michael Uzowuru
Dani Ana","Ian Simpson","July 16, 1996 (1996-07-16) (age 21)Corpus Christi, Texas, U.S.",NA,NA,NA,"Rapper
singer-songwriter
director",NA,"2009–present",NA,NA,"kevinabstract.com
brckhmptn.com",NA
"2806","Hey Violet","Pop punk
pop rock
electropop
alternative rock (early)
hard rock (early)","Hollywood
Hi or Hey
Capitol","5 Seconds of Summer",NA,NA,NA,NA,NA,NA,"Los Angeles, California, U.S.","2008–present","Rena Lovelis
Nia Lovelis
Casey Moreta
Iain Shipp","Julia Pierce
Miranda Miller","heyviolet.com","Cherri Bomb (2008–2015)"
"2807","Allie X","Synthpop","Universal Music Group, Sleepless Records, Label X, Exodus Entertainment, Twin Music Inc.",NA,"Alexandra Ashley Hughes[1]","(1985-07-31) 31 July 1985 (age 32)[2][3]Oakville, Ontario, Canada [4]",NA,"Vocals, piano",NA,"Singer-songwriter, producer, actress",NA,NA,NA,NA,"www.alliex.com",NA
"2808","Loyle Carner","hip hop

[1]","AMF
Speedy Wunderground","Rebel Kleff
Kate Tempest
Kwes
The Purist
Jehst
Tom Misch","Benjamin Gerard Coyle-Larner","6 October 1995Lambeth, South London, England",NA,NA,NA,NA,NA,"2012–present",NA,NA,"www.loylecarner.com",NA
"2809","Mix Master Mike","Turntablism, hip-hop, rap rock","Grand Royal, Capitol","Beastie Boys, Invisibl Skratch Piklz","Michael Schwartz","(1970-04-04) April 4, 1970 (age 47)",NA,"Turntables",NA,"Disc jockey","San Francisco, California","1989–present",NA,NA,"www.mixmastermike.com","Mix Master Mike"
"2810","Blank Range","Rock","Sturdy Girls Records",NA,NA,NA,NA,NA,NA,NA,"Nashville, Tennessee, USA","2013-present","Jonathon Childers
Grant Gustafson
Matt Novotny
Taylor Zachry",NA,"blankrangemusic.com",NA
"2811","Public Access T.V.","Rock, post-punk, new wave","Cinematic / Sony Records",NA,NA,NA,NA,NA,NA,NA,"New York City, United States","2014–present","John Eatherly
Xan Aird
Max Peebles
Peter Sustarsic",NA,"www.PATVMusic.com",NA
"2812","Lauv","Pop
R&B
Indie","https://twitter.com/lauvsongs",NA,"Ari Staprans Leff","(1994-08-08) August 8, 1994 (age 23)[1]San Francisco, California, United States",NA,"Vocals",NA,"Singer
model",NA,"2015–present",NA,NA,"lauvsongs.com",NA
"2813","Julie Byrne","Indie folk","Ba Da Bing Records, Basin Rock, Orindal",NA,NA,"Buffalo, New York, United States[1]",NA,"Vocals, guitar",NA,NA,NA,"2012–present",NA,NA,"Julie Byrne - Bandcamp juliemariebyrne.com",NA
"2814","Lola Marsh","Dream pop
indie pop","Anova Music
Universal-Barclay
Sony ATV",NA,NA,NA,NA,NA,NA,NA,"Tel Aviv, Israel","2013–present","Gil Landau
Yael Shoshana Cohen
Mati Gilad
Rami Osservaser
Dekel Dvir
Ido Rivlin",NA,"www.anovamusic.com",NA
"2815","That 1 Guy","Rhythm & Sound, Experimental music, funk, jazz, Gyp hop","Righteous Babe","BucketheadDj Qbert","Mike Silverman",NA,NA,"The Magic Pipe, the Magic boot, the saw, bass, percussion, vocals","Notable instruments","Singer-songwriter, musician",NA,"1990s–present",NA,NA,"that1guy.com",NA
"2816","Jillette Johnson","Pop · piano rock · indie","Wind-up",NA,NA,"(1989-06-03) June 3, 1989 (age 28)[1]California, United States[2]",NA,"Piano",NA,"Singer-songwriter, musician","Pound Ridge, New York, New York City, United States[2][3]","2012–present",NA,NA,"jillettejohnson.com",NA
"2817","A.CHAL","Hip hop
R&B","GAZI World",NA,"Alejandro Salazar","Peru",NA,NA,NA,"Singer-songwriter
Producer",NA,"2013–present",NA,NA,"Official website","Alejandro Chal"
"2818","Grace Weber","R&B, Gospel, Soul, Folk, Hip-Hop","B|G Mouth Records","Chance the Rapper
Nico Segal
The Social Experiment
Nate Fox
Jamila Woods
Francis and the Lights
ThirdStory
Boogie
Elliott Skinner","Grace Weber","June 28thWauwatosa, Wisconsin, U.S.",NA,"Vocals, Piano, Guitar",NA,"Singer, Songwriter, Recording Artist, Producer",NA,"2011–present",NA,NA,"graceweber.com",NA
"2819","Marbin","Jazz rock, jazz fusion, progressive rock","Moonjune",NA,NA,NA,NA,NA,NA,NA,"Israel","2007 (2007)–present","Danny Markovitch
Dani Rabin
Blake Jiracek
Jon Nadel","Paul Wertico
Steve Rodby
Justyn Lawrence
Jae Gentile
Greg Essig
John Lauler","www.marbinmusic.com",NA
"2820","Crue","Heavy metal
hard rock
glam metal","Mötley
Eleven Seven Music
Elektra
Leathür
Warner Music Group","Brides of Destruction
Methods of Mayhem",NA,NA,NA,NA,NA,NA,"Los Angeles, California, U.S.","1981–2015",NA,"Nikki Sixx
Mick Mars
Vince Neil
Tommy Lee
John Corabi
Randy Castillo
Samantha Maloney","motley.com",NA
"2821","Daphne Willis","Alternative Pop","Independent, Vanguard Records",NA,NA,"(1987-03-10) March 10, 1987 (age 30)San Antonio, Texas",NA,"Guitar",NA,"Musician, Singer/Songwriter","Nashville, Tennessee","2005–present",NA,NA,"Daphne Willis Website",NA
"2822","Audien","Progressive house
trance
electronic rock
electro house
EDM","Astralwerks
Anjunabeats
Armada
Spinnin'",NA,"Nathaniel Rathbun","January 11, 1992New London, Connecticut, U.S.",NA,"Keyboards
turntable",NA,"Record producer
DJ
musician",NA,"2009–present",NA,NA,NA,NA
"2823","Pete Tong","Electronica
Balearic beat
house",NA,NA,"Peter Michael Tong","(1960-07-30) 30 July 1960 (age 57)Dartford, Kent, England",NA,NA,NA,"DJ, Music Producer, Presenter",NA,"1981–present",NA,NA,"www.petetong.com",NA
"2824","Dzeko and Torres","Electro House
Progressive House
Big Room House","Spinnin' Records, Musical Freedom, DOORN Records, Dim Mak Records","Tiesto, Steve Aoki, Chuckie, Sarah McLeod, Delaney Jane, KSHMR, Maestro Harrel, Delora, MOTi",NA,NA,NA,NA,NA,NA,"Toronto, Ontario, Canada","2007–2016",NA,"Luis Torres
Julian Dzeko","DzekoandTorres.com",NA
"2825","The M Machine","Electro house
alternative dance
progressive house","OWSLA, Mad Zoo",NA,NA,NA,NA,NA,NA,NA,"San Francisco, California, United States","2011-present","Ben ""Swardy"" Swardlick
Eric Luttrell[1]","Andy Coenen[1][2]",NA,NA
"2826","Dirtyphonics","Dubstep, drum and bass, drumstep","AudioPorn Records  •  Dim Mak  •  Monstercat",NA,NA,NA,NA,NA,NA,NA,"Paris, France","2004–present","Charly
PitchIn
Pho","Thomas
James ""Youthstar"" Davies","dirtyphonics.com",NA
"2827","Ookay","Dubstep
trap
progressive house
electro house
future bass
deep house","Dim Mak
Mad Decent
Spinnin'
Skink
Armada","Marshmello
Showtek
Borgore
A-Trak
Pyramid Juke
YDG
Ragga Twins
Getter
Scott Sinjin
Attila","Abraham Laguna","(1992-01-10) January 10, 1992 (age 25)Chula Vista, U.S.",NA,"Digital audio workstation",NA,"DJ
record producer
musician",NA,"2010–present",NA,NA,NA,NA
"2828","Stafford Brothers","House, electro, progressive","Cash Money Records",NA,NA,NA,NA,NA,NA,"Disk jockeys, producers, MCs, songwriters, artist managers, entrepreneurs",NA,NA,NA,NA,"www.staffordbrothers.com",NA
"2829","Fox Stevenson","House, dubstep, drum and bass, 2-step garage, glitch hop, electro house, bass house, future house,[2]minimal house, pop","Liquicity Records
Spinnin' Records
Disciple Recordings
Firepower Records
cloudhead records
Kinphonic
Monstercat","Candyland, Feint, Mesto, Curbi[3]","Stanley Stevenson Byrne","(1993-01-25) 25 January 1993 (age 24)",NA,"Synthesizer, singing",NA,"Musician, songwriter, producer","Leeds, United Kingdom[1]","2007-present",NA,NA,"facebook.com/FoxStevensonMusic","Stan SB"
"2830","Danny Byrd","Drum and bass
liquid funk
UK garage","Hospital","I-Kay
Tomahawk
London Elektricity
Brookes Brothers
Rudenko
Swedish House Mafia
Netsky
Cyantific
High Contrast
Liquid
Flux Pavilion
Roni Size
Tanya Lacey
Serocee
Jaguar Skills","Danny Byrd","(1979-05-04) 4 May 1979 (age 38)[1]",NA,NA,NA,"DJ
record producer
musician","Bath, Somerset, England","1997–present",NA,NA,"byrdfeed.co.uk",NA
"2831","Roger Sanchez","House, electronic dance, tribal house","Stealth Records, Ministry of Sound",NA,"Roger Rene Sanchez","(1967-06-01) June 1, 1967 (age 50)[1]Queens, New York City, New York, US",NA,NA,NA,"DJ, music producer",NA,"1990–present",NA,NA,"RogerSanchez.com","Roger S., S-Man, Natural Born Lovers"
"2832","Sharam","Electronica, house","Ultra, Yoshitoshi, Spinnin'","Deep Dish, Dubfire","Sharam Tayebi","(1970-01-12) January 12, 1970 (age 47)Tehran, Iran",NA,NA,NA,"DJ, remixer, producer","Tehran, Iran","1992–present",NA,NA,"www.sharam.com",NA
"2833","San Holo","Trap
future bass","Columbia Records
Heroic Recordings
Monstercat
Spinnin' Records
bitbird
OWSLA
Barong Family","Porter Robinson, Father Dude, Tessa Douwstra, Cesqeaux, The Nicholas, Jauz, Yellow Claw","Sander van Dijck","(1990-11-26) November 26, 1990 (age 26)Zoetermeer, Netherlands",NA,"Digital audio workstation: Logic Pro, Ableton Live",NA,"Record producer
musician
composer
DJ",NA,"2013–present",NA,NA,"sanholo.com",NA
"2834","Fedde le Grand","House, electro house, tech house, progressive house","Flamingo Recordings, Ministry of Sound Australia, Toolroom Records, Ultra Records, Be Yourself Music, Spinnin' Records, Darklight Recordings","Funkerman, Sultan & Ned Shepard, Nicky Romero, Jewelz & Sparks, Roul and Doors, Patrick la Funk, Deniz Koyu, Michael Calfan, Chocolate Puma, John Dish, and Marco V","Fedde Le Grand","(1977-09-07) 7 September 1977 (age 40)Utrecht, Netherlands",NA,NA,NA,"DJ, producer, remixer",NA,"2002-present",NA,NA,"Official Website",NA
"2835","Vicetone","Progressive house, electro house, deep house, future house","Protocol Recordings, Monstercat, Spinnin Records, Armada Music, Revealed Recordings, Ultra Records, Dim Mak Records","Nicky Romero, Krewella, Nervo, Kat Nestel",NA,NA,NA,NA,NA,NA,"Groningen, Netherlands","2012–present","Ruben Den Boer
Victor Pool",NA,"www.vicetone.com",NA
"2836","Noisia","Drum and bass (specifically neurofunk and techstep)[3]
breakbeat
electro house[4]
dubstep
grime","Vision[3]
Division
Invisible[3]
mau5trap
OWSLA
Roc Nation[6][7]
Spinnin'","Black Sun Empire
Foreign Beggars
Hadouken!
Korn
Skrillex
Spor
The Upbeats
Ivy Lab
Xtrah
Phace
Two Fingers
Mefjus
Hybris",NA,NA,NA,NA,NA,"Record producers, label owners, musicians","Groningen, Netherlands","2003–present[5][3]","Martijn van Sonderen
Nik Roos
Thijs de Vlieger",NA,"Noisia Official Website","Nightwatch[1]
Drifter
Hustle Athletics
Frizz
Zonderling[2]
De Huilende Rappers"
"2837","Paul Oakenfold","Electronica, acid house, trance, Goa trance, breakbeat, big beat, film score","Perfecto (UK)
Maverick (US)
Warner (UK/US)","Aliases:
Bunkka, Electra, Elementfour, Perfecto/Perfecto Records, Perfecto Allstarz, Planet Perfecto, Rise, Virus, Wild ColourActs:Steve Osborne, Andy Gray, Rihanna, Brittany Murphy, Madonna, Grace, Mylène Farmer, Movement 98, Shifty Shellshock, Sophie Ellis-Bextor, Cher","Paul Mark Oakenfold","(1963-08-30) 30 August 1963 (age 54)Mile End, London, England",NA,"Synthesizer, turntables",NA,"Disc jockey, remixer, actor, record producer, chef[1]","Greenhithe, Kent, England","1980–present",NA,NA,"www.pauloakenfold.com","Perfecto, Electra, Oakenfold"
"2838","Pegboard Nerds","EDM
Dubstep
Electro House
Trap
Drumstep
Glitch Hop","Monstercat
Columbia Records
Protocol Recordings
Spinnin' Records","Topi
Quiet Disorder
MIU
Elizaveta Khripounova
Krewella",NA,NA,NA,"Digital Audio Workstation (Ableton Live, Pro Tools)","Notable instruments",NA,"Denmark, Norway","2011–present","Alexander Odden
Michael Parsberg",NA,"pegboardnerds.com",NA
"2839","Pierce Fulton","Progressive House, Electronic, Trance","Armada Music
Cr2 Records
Monstercat","Ansolo, Atlas Genius, Cash Cash, Shirts & Skins, EDEN, Puppet",NA,NA,NA,NA,NA,"Musician, record producer","Vermont, United States[1]","2011–present",NA,NA,"http://www.piercefulton.com",NA
"2840","Skream","Dubstep
garage
dub
disco
house
techno
drum and bass
jungle
grime","Tempa
Tectonic
Disfigured Dubz
Deep Medi Musik
OWSLA
Nonplus","Benga
Artwork
Magnetic Man
Sam Frank
Example
La Roux
Skrillex
J.E.S.+S.","Oliver Dene Jones","(1986-06-01) 1 June 1986 (age 31)West Wickham, Bromley, London, England",NA,"Music sequencer
samplers
drum machine
personal computer
turntables",NA,"Record producer
musician","Croydon, South London, England","2003–present",NA,NA,"skreamizm.com",NA
"2841","Dieselboy","Drum and bass",NA,NA,"Damian Higgins","(1972-07-24) July 24, 1972 (age 45)Tarpon Springs, Florida, United States",NA,"Turntables",NA,"DJ, record producer, label owner",NA,"1991–present",NA,NA,"Official website",NA
