"","artist","Genres","Labels","Associated acts","Birth name","Born","Died","Instruments","Notable instruments","Occupation(s)","Origin","Years active","Members","Past members","Website","Also known as"
"557","Mat Kearney","Rock, folk, CCM, hip hop","InPop, Columbia, Aware, Universal Republic","Tyler Burkum, Trent Dabbs",NA,"(1978-12-01) December 1, 1978 (age 38)Eugene, Oregon, United States",NA,"Vocals, guitar, piano, harmonica, CP70, mandolin, synthesizer, vibraphone",NA,"Singer, songwriter","Nashville, Tennessee, United States","2003–present",NA,NA,"matkearney.com",NA
"558","Modeselektor","Electronic, IDM, experimental techno, breakbeat, Instrumental hip hop","BPitch Control, Monkeytown Records","ModeratThom YorkeApparat",NA,NA,NA,NA,NA,NA,"Berlin, Germany","1996–present","Gernot BronsertSebastian Szary",NA,"Official website",NA
"559","Ha Ha Tonka","Indie rockSouthern rock","May Apple Records, Bloodshot Records",NA,NA,NA,NA,NA,NA,NA,"West Plains, Missouri, United States","2005–present","Brett Anderson
Brian Roberts
Luke Long
Mike Reilly","Lennon Bone
Robert Mueller","http://www.hahatonkamusic.com/",NA
"560","Sharon Jones & The Dap-Kings","Funk, soul, R&B","Daptone","Mark Ronson & The Business INTL, Antibalas, The Budos Band, Amy Winehouse, Kesha, Menahan Street Band",NA,NA,NA,NA,NA,NA,"Brooklyn, New York, United States","1996–2016","Binky Griptite
David GuyBosco Mann
Neal Sugarman
Joe Crispiano
Fernando VelezHomer Steinweiss
Cochemea Gastelum
Saundra Williams
Starr Duncan-Lowe","Sharon Jones (deceased)
Leon MichelsEarl Maxton
Anda Szilagyi
Todd M. Simon
Thomas Brenneck
Ian Hendrickson-Smith","SharonJonesAndTheDapKings.com",NA
"561","Switchfoot","Alternative rock
post-grunge
Christian rock
hard rock
power pop
pop rock
indie rock [1]","Rethink
Columbia
Sony BMG
lowercase people
Atlantic
Vanguard
Sparrow",NA,NA,NA,NA,NA,NA,NA,"San Diego, California, United States","1996–present","Jon Foreman
Tim Foreman
Chad Butler
Jerome Fontamillas
Drew Shirley",NA,"www.switchfoot.com",NA
"562","New York Dolls","Hard rock, proto-punk, glam punk","Mercury, Roadrunner, Atco, 429",NA,NA,NA,NA,NA,NA,NA,"New York City, United States","1971–1977,[1] 2004–2011[2]",NA,"David JohansenSylvain SylvainJohnny ThundersArthur KaneBilly MurciaRick RivetsJerry Nolan
Peter JordanBlackie LawlessChris Robison
Tony Machine
Bobby BlaineSteve ConteGary PowellSami Yaffa
Brian KooninFrank InfanteJason HillJason SutterAaron Lee Tasjan
John ConteKenny AaronsonEarl Slick
Brian Delaney
Claton Pitcher",NA,NA
"563","Jeremy Fisher","folk rock","Sony Music
BGM
Fish Hook Music
Aquarius Records
Wind-up Records",NA,"Jeremy Binns","(1976-12-15) December 15, 1976 (age 40)Hamilton, Ontario, Canada",NA,NA,NA,NA,NA,"2001–present (solo)",NA,NA,"jeremyfishermusic.com",NA
"564","El Vez","Latin rock, rock and roll,[1]punk rock","Sympathy for the Record Industry","The Zeros, Catholic Discipline, Phranc",NA,"1960",NA,"Vocals, guitar, keyboards",NA,"Singer-songwriter, musician","Chula Vista, California, U.S.","1977–present",NA,NA,NA,NA
"565","Daryl Hall & John Oates","Pop rock
blue-eyed soul
soft rock
jazz
rhythm and blues","Atlantic
RCA
Arista
U-Watch",NA,NA,NA,NA,NA,NA,NA,"Philadelphia, Pennsylvania,
United States","1970–present","Daryl HallJohn Oates",NA,"www.hallandoates.com",NA
"566","She & Him","Indie pop, indie folk","Merge, Double Six, Columbia","If All the Stars Were Pretty Babies, Monsters of Folk",NA,NA,NA,NA,NA,NA,"Portland, Oregon, U.S.","2006–present","Zooey Deschanel
M. Ward",NA,"www.sheandhim.com",NA
